Site;City;Type;Latitude;Longitude;ISA;Tree_cover;Distance_road;Distance_center;axis1_env;Date;Species;Ring_num;Age;Cu;Pb;Zn;As;Hg;Cd;log.cu;log.zn;log.pb;log.as;log.cd;log.hg
Lazienki;Warsaw;Park;52,210743;21,035074;0;41,5;149,2;2810;-0,101705102;13/03/2017;GT;K3V3321;2Y;14,373;2,929;360,508;2,381;1,078;0,063;2,665351447;5,887514148;1,074661068;0,867520568;-2,764620553;0,075107472
Lazienki;Warsaw;Park;52,210743;21,035074;0;41,5;149,2;2810;-0,101705102;13/03/2017;GT;K3V3323;A;6,221;2,097;304,895;1,901;1,75;0,029;1,827930666;5,719967455;0,740507752;0,642380064;-3,540459449;0,559615788
Lazienki;Warsaw;Park;52,210743;21,035074;0;41,5;149,2;2810;-0,101705102;13/03/2017;BT;K3V3329;2Y;46,255;22,409;835,573;1,18;3,289;2,655;3,834169566;6,728117717;3,109462664;0,165514438;0,976444655;1,190583567
Lazienki;Warsaw;Park;52,210743;21,035074;0;41,5;149,2;2810;-0,101705102;13/03/2017;GT;K3V3330;2Y;10,193;5,664;413,241;2,473;5,063;0,258;2,32170121;6,024030958;1,734130356;0,905431989;-1,354795694;1,621959193
Lazienki;Warsaw;Park;52,210743;21,035074;0;41,5;149,2;2810;-0,101705102;13/03/2017;BT;K3V3331;A;22,958;3,894;385,789;3,34;2,101;0,157;3,13366646;5,955290588;1,359436907;1,205970807;-1,851509474;0,742413422
Park Skaryszewski;Warsaw;Park;52,241967;21,055128;0;78,2;337,3;2790;-1,195180357;19/03/2017;GT;K3V3345;A;7,965;2,706;258,748;3,371;12,238;0,336;2,075056943;5,555854615;0,99547153;1,215209436;-1,090644119;2,504545865
Park Skaryszewski;Warsaw;Park;52,241967;21,055128;0;78,2;337,3;2790;-1,195180357;19/03/2017;GT;K3V3347;A;6,97;0,441;225,519;5,617;9,704;0,012;1,941615225;5,418404413;-0,818710404;1,725797714;-4,422848629;2,272538172
Park Skaryszewski;Warsaw;Park;52,241967;21,055128;0;78,2;337,3;2790;-1,195180357;19/03/2017;BT;K3V3348;A;15,883;2,972;381,791;1,15;0,519;0,173;2,765249355;5,944873338;1,089235127;0,139761942;-1,754463684;-0,655851396
Park Skaryszewski;Warsaw;Park;52,241967;21,055128;0;78,2;337,3;2790;-1,195180357;19/03/2017;BT;K3V3350;A;11,414;1,864;427,697;4,745;2,043;0,306;2,434840672;6,058415001;0,622724716;1,557091432;-1,184170177;0,714419316
Park Skaryszewski;Warsaw;Park;52,241967;21,055128;0;78,2;337,3;2790;-1,195180357;19/03/2017;GT;K3V3353;A;13,777;4,311;197,109;0,641;5,862;0,142;2,623000535;5,283756875;1,461169896;-0,444725822;-1,951928221;1,768490842
Park Skaryszewski;Warsaw;Park;52,241967;21,055128;0;78,2;337,3;2790;-1,195180357;19/03/2017;BT;K3V3354;A;8,468;0,933;304,657;7,815;12,581;0,242;2,136294353;5,719186554;-0,069350078;2,056044964;-1,418817553;2,532187739
